time,wx,wy,wz
0.00487518310546875,-0.01,-0.03,-0.05
0.014426231384277344,-0.01,0.04,-0.02
0.024897098541259766,-0.01,-0.07,0.05
0.034612178802490234,-0.02,-0.24,0.08
0.045426130294799805,-0.02,-0.24,0.08
0.05895805358886719,-0.03,-0.05,0.09
0.06418418884277344,-0.02,0.16,0.1
0.07426214218139648,-0.0,0.22,0.08
0.0841360092163086,0.0,0.1,0.05
0.09419107437133789,-0.0,-0.09,0.03
0.10391902923583984,-0.02,-0.19,0.02
0.11431026458740234,-0.02,-0.19,0.03
0.12392711639404297,-0.03,-0.11,0.04
0.13377714157104492,-0.03,-0.05,0.04
0.14499115943908691,-0.02,-0.04,0.04
0.16095399856567383,-0.03,-0.02,0.05
0.16421222686767578,-0.03,0.04,0.05
0.17339015007019043,-0.02,0.12,0.06
0.1834251880645752,-0.02,0.15,0.04
0.19351530075073242,-0.03,0.12,0.03
0.20343613624572754,-0.03,0.05,0.01
0.21354007720947266,-0.04,0.0,-0.01
0.2236781120300293,-0.05,0.02,-0.02
0.23345518112182617,-0.07,0.07,-0.04
0.2442631721496582,-0.08,0.13,-0.06
0.2607450485229492,-0.08,0.2,-0.06
0.2628641128540039,-0.1,0.23,-0.04
0.2729053497314453,-0.09,0.13,-0.01
0.2827122211456299,-0.08,-0.04,0.02
0.2929983139038086,-0.07,-0.17,0.04
0.30251026153564453,-0.08,-0.14,0.06
0.31278228759765625,-0.09,0.03,0.08
0.3223252296447754,-0.09,0.24,0.09
0.3325691223144531,-0.08,0.41,0.09
0.3427581787109375,-0.06,0.45,0.11
0.359835147857666,-0.04,0.27,0.11
0.3622093200683594,-0.01,-0.07,0.07
0.37200212478637695,0.02,-0.39,0.04
0.38227033615112305,0.07,-0.54,0.03
0.3921523094177246,0.11,-0.47,0.05
0.40168333053588867,0.11,-0.3,0.08
0.4117622375488281,0.11,-0.16,0.14
0.4218571186065674,0.09,-0.09,0.19
0.43187618255615234,0.07,-0.07,0.25
0.44174814224243164,0.06,-0.08,0.26
0.45851707458496094,0.05,-0.04,0.24
0.46137332916259766,0.04,0.08,0.19
0.47144603729248047,0.04,0.2,0.11
0.48144102096557617,0.03,0.31,0.03
0.49128222465515137,-0.01,0.29,-0.06
0.5012950897216797,-0.06,0.15,-0.16
0.5113332271575928,-0.09,-0.04,-0.23
